Дата,Канал,Тип медиа,ID,Текст,Просмотры,Форварды,Резонанс,тематики,
2024-11-12 16:06:56,tomsawyerfest,Тематический паблик,5699,"Просим распространить информацию. 11 ноября в телеграм-канале депутата ГосДумы Михаила Матвеева появилась запись о том, что ""дом с часами"", который восстанавливает ""Том Сойер Фест"", снесен.  Разумеется, это не так. Деревянная часть дома разобрана и будет собрана заново. К сожалению, иного выхода не было из-за угрозы обрушения здания.  Наши друзья [club173586870|Другой город — Самара] собрали всю информацию о ситуации. В статье есть официальный комментарий Управления государственной охраны объектов культурного наследия Самарской области, комментарии реставраторов, которые ведут работы и наша история работы с домом купца Кожевникова, он же ""Дом с часами"". И, конечно, мы рассказали, что будет с домом дальше (спойлер - все должно быть хорошо) и что для этого нужно (спойлер - средства!).  Мы надеемся, что этой информации хватит, чтобы закрыть тему якобы сноса.  К нашему огромному сожалению, многие СМИ и блогеры уже опубликовали новость о том, что дом снесен, даже не потрудившись обратиться за комментариями к ""Том Сойер Фесту"". И, конечно, теперь сотни человек считают нас разрушителями исторического наследия. Это обидно!  Рассчитываем, что предоставленных нами материалов хватит, чтобы и депутат Госдумы Михаил Матвеев, и другие обеспокоенные граждане приняли тот факт, что мы не уничтожаем историческое наследие, а совсем даже наоборот, защищаем его!  https://drugoigorod.ru/really-situation-house-with-clock/",8303,52,"0,02286719437",снос; дом Кожевникова; обвинение,
2024-10-16 16:30:00,tomsawyerfest,Тематический паблик,5581,"Вы готовы стать Мастерами деревянных наличников и сделать наличник своими руками?! Давайте проверим!   Мы объявляем набор на два стартовых мастер-класса по резьбе, чтобы вы смогли познакомиться с профессией резчика по дереву, попробовали свои силы в столярном деле и поверили в то, что вы способны преобразить наш город! Или окна на доме Кожевникова!  Мастер-классы пройдут под руководством Сергея Пимахина 24 и 31 октября с 18:00 до 20:00 в центре сотворчества [club199280883|Центр сотворчества ""ЖИВОЙ!""] Здесь вы попробуете свои навыки в резьбе, поймете, насколько вам это нравится. И по итогу сможете записаться на занятия в группы по созданию наличников для дома А.Ф.Кожевникова. Только представьте - идете вы мимо исторического здания и смотрите на наличник, к которому сами приложили руку!  Итак, если вы уже готовы, то регистрируйтесь по ссылке (регистрация обязательна) на стартовые мастер-классы👇И приходите!  https://docs.google.com/forms/d/e/1FAIpQLSfBoWlc1m2TyV8qBG5pKOgbFaKR3kyO1Ew9Blmz-XeZwG1xGw/viewform  До встречи!❤  Проект реализуется с использованием средств гранта Министерства экономического развития и инвестиций Самарской области",2173,30,"0,01818181818",МК; дом Кожевникова,
2024-08-29 13:08:59,tomsawyerfest,Тематический паблик,5412,"""Том Сойер Фест"" проведет тематические МАСТЕР-КЛАССЫ на ВолгаФесте! Приглашаем всех желающих на площадку [club3611243|Музея Алабина] ""Сохранить как"". Уж мы-то точно знаем как сохранять ценные и дорогие нашему сердцу детали и предметы.  30 августа (пт), с 16:00 до 19:00  МЕТАЛЛ. Очистка и уход за столовыми приборами  Модные в Советское время мельхиоровые ложки, вилки и ножи сегодня приобрели статус раритетных. На мастер-классе мы будем заниматься очисткой потемневших от времени столовых приборов с использованием специальных химических средств. Все абсолютно безопасно, поэтому мастер-класс будет интересен и детям. Кроме того, вы можете принести свои столовые приборы и различные металлические детали на очистку.    31 августа (сб), с 16:00 до 19:00  КАМЕНЬ. Гипсовая лепнина и роспись На фасадах и в интерьерах исторических зданий часто использовалась лепнина. Даже в нашем Доме Кожевникова потолочная гипсовая розетка пережила несколько эпох и жильцов. На мастер-классе мы поучимся изготавливать из гипса изящные исторические детали и распишем их под чутким руководством мастера.   1 сентября (вс), с 16:00 до 19:00  ДЕРЕВО. Очистка деревянных кронштейнов  Кронштейны украшают дом Кожевникова более 100 лет. Волонтеры ТСФ временно демонтировали кронштейны с фасада. На мастер-классе мы будем бережно работать с исторической древесиной, учиться очищать от наслоений старой краски и покрывать обнажившееся дерево защитным составом, чтобы эти детали радовали нас еще много лет. Кронштейны будут возвращены на фасад.   Мы проводим мастер-классы в поддержку Дома Кожевникова, сейчас открыт сбор пожертвований и любая ваша помощь поможет нам в этом нелегком деле. Помочь можно уже сейчас https://tsfond.ru/dom-kozhevn-okna/   До встречи на ВолгаФесте!  #фондпрезидентскихгрантов #фондтсф #томсойерфест",2802,16,"0,01743119266",МК; дом Кожевникова,
2023-08-07 14:20:00,tomsawyerfest,Тематический паблик,4212,"В эту пятницу, 11 августа, мы приглашаем желающих принять участие во втором мастер-классе по росписи защитных листов для консервации дома мещанина Ф.Д.Лесина.    Заколоченные окна и двери мы постараемся превратить в прекрасные картины с изображением самых известных легенд и легендарных личностей Самары. Таким образом мы хотим привлечь внимание к проблеме сохранения объектов культурного наследия, находящихся в аварийном состоянии. А любой из вас может помочь нам с этой благородной миссией☺😉  Мастер-класс пройдет на нашей площадке во дворе дома А.Ф.Кожевникова (ул. Коммунистическая, 5) с 18:00 до 20:00.    Количество мест на мастер-класс по росписи ограничено, поэтому требуется предварительная запись по ссылке 👇    https://dobro.ru/event/10447403?utm_source=dobroru&utm_medium=organic&utm_campaign=pagerepost&utm_content=event  После одобрения вашей заявки, вам придёт уведомление на эл.почту от добро.ру, а координатор добавит в “секретный” чат, где будет вся самая свежая и оперативная информация по всем мастер-классам.",1752,12,"0,01680672269",МК; дом Кожевникова,
2023-07-25 15:24:26,tomsawyerfest,Тематический паблик,4101,"Друзья, в скором времени мы начинаем очень интересный проект под названием ""Мастера деревянных окон"" 😇  Это будет серия бесплатных мастер-классов по созданию деревянных окон исторического облика👌  Мероприятие направлено на привлечение молодежи и активистов Самары в возрасте от 18 лет к реконструкции деревянных исторических зданий через обучение столярному делу.    ✅Под руководством опытных наставников за одно занятие можно будет ознакомиться с проектированием, заготовкой деталей, монтажом и отделкой окон из дуба, сосны и лиственницы.   ✅Мастер-классы будут проходить в столярной мастерской с профессиональным оборудованием и инструментами. Помимо дней, выделенных под мастер-классы, запланированы дополнительные встречи для консультаций и практических занятий.   ✅За время проекта планируется создать «по всем историческим канонам» семь деревянных окон, которые будут установлены на цокольном этаже дома купца А.Ф Кожевникова    Первый мастер-класс пройдёт 5 августа. Чтобы принять участие в проекте, нужно только зарегистрироваться по ссылке и дождаться обратной связи от организаторов👇    https://docs.google.com/forms/d/e/1FAIpQLSee4COSvJKrdR6UjXAC3H6gSw-wapi-p4uweShrlta0hWzs-w/viewform    Проект реализуется при поддержке Фонда президентских грантов",2630,22,"0,01566951567",МК; дом Кожевникова,
2023-07-19 11:04:01,tomsawyerfest,Тематический паблик,4039,"МЫ РАДЫ СООБЩИТЬ ДОЛГОЖДАННУЮ НОВОСТЬ! 😃🙂😍   25 июля, во вторник, “Том Сойер Фест” совместно с УГООКН Самарской области (Управление госохраны объектов культурного наследия) запускает серию мастер-классов по арт-консервации. Мероприятие направлено на привлечение внимания к проблеме сохранения объектов культурного наследия, находящихся в аварийном состоянии.  Ветшающие и чахнущие дома могут не дождаться своего инвестора для восстановления, если мы не оградим их от разрушительных осадков и недобрых людей. Заколоченные окна и двери мы постараемся превратить в картины, вызывающие интерес к истории нашего города, и просто сделать их красивыми. Любой из вас может стать волонтёром и помочь нам сделать город лучше!  Первый мастер-класс по росписи пройдет на нашей любимой площадке во дворе дома А.Ф.Кожевникова (ул. Коммунистическая, 5) с 18:00 до 20:00. Сначала расписываем листы, а уже после установим их на доме мещанина Ф.Д.Лесина по адресу: ул. Ленинская, 104-106.  Хорошая компания, запах краски и чай с плюшками будут ждать вас!    Количество мест на мастер-класс по росписи ограничено, поэтому требуется предварительная запись по ссылке 👇 https://dobro.ru/event/10440112?utm_source=dobroru&utm_medium=organic&utm_campaign=pagerepost&utm_content=event    После одобрения вашей заявки, с вами свяжется координатор и добавит в “секретный” чат, где будет вся самая свежая и оперативная информация по всем мастер-классам.",3517,27,"0,0152173913",МК; дом Кожевникова,
2023-05-31 11:09:22,tomsawyerfest,Тематический паблик,3725,"11 июня на площадке ""Том Сойер Феста"" (Коммунистическая, 5) у вас есть прекрасная возможность не только поменяться к лучшему благодаря лекциям и экскурсии по легендарному дому Кожевникова, но и обменяться вещами на ""Том Сойер Своп""!  Это мероприятие мы проводим совместно с командой прекрасных дев, которые проводят свопы в Самаре во главе с [id2091231|Татьяна Выводнова] , автором проекта ""Берешь и пишешь"".  Своп, или дресскроссинг — это обмен вещами, которые больше не нужны владельцам, но могут послужить другим людям. На ""Том Сойер Свопе"" будем меняться одеждой, обувью, аксессуарами, посудой, украшениями и приятными мелочами для дома. Главный критерий — все вещи должны быть чистыми, в хорошем состоянии и пригодными к использованию. Любые вещи со свопа можно будет забрать бесплатно. Все неразобранные вещи со свопа будут переданы в кризисный центр для женщин ""Ты не одна"".    Кроме того, приветстувуются печеньки для общего чаепития!  Еще мы будем рады, если вы поможете нам разными полезными расходниками и стройматериалами:  - Дверные петли, свëрла и биты, диски и щетки для болгарок, перчатки, респираторы, малярные кисти и валики. Все это очень пригодится волонтерам Том Сойер Феста при восстановлении ""Дома с часами"".  - Шампуни, гели для душа, мыло и любые другие средства гигиены для ""Корзинки добра"": они будут переданы подопечным БФ ""Вектор жизни""    Программа свопа:   15.00 — 19.00 — обмен вещами, чай с печеньками, экскурсии по Дому с часами (по мере набора желающих)    15.30 — лекция о Доме с часами и восстановлении исторических зданий от Антона Черепка, журналиста, радиоведущего и координатора ""Том Сойер Феста""    17.00 — лекция про апсайклинг и способы дать вторую жизнь ненужным вещам от победителя российского конкурса дизайнеров Дины Базарбаевой    Вход за донат (любая комфортная для вас купюра или перевод по QR-коду). Все собранные средства будут направлены на восстановление Дома с часами.  Если вы будете делать репост в другие соцссети, то вот вам еще и картинки, чтобы было еще симпатичнее!  Зарегистрируйтесь, пожалуйста, по ссылке: https://vk.cc/comWdd",3796,35,"0,01465738366",МК; мероприятие; дом Кожевникова,
2022-08-04 13:00:02,tomsawyerfest,Тематический паблик,2864,"ВНИМАНИЕ, ЭТО ИНТЕРЕСНО!   Уже в эту пятницу (т.е. завтра) пройдёт публичная лекция от руководителя Управления госохраны объектов культурного наследия Самарской области (УГООКН) Ивана Стафеева «Историческая архитектура Самары и её детали».    Он расскажет об особенностях архитектуры зданий конца XIX — начала XX века и их основных деталях.    Лекция проводится в помощь волонтёрам, которые сейчас занимаются мониторингом аварийных домов Самарского района. Однако!    - прийти на лекцию может каждый желающий (а не только волонтёр ""Том Сойер Феста""). Нужна лишь предварительная регистрация на Добро.ру по ссылке:    https://dobro.ru/event/10210169?utm_source=dobroru..    Для успешной регистрации сначала необходимо авторизироваться на сайте, иначе регистрация не пройдет, а количество мест ограничено.    - продолжительность лекции примерно 1,5 часа    - пройдёт 5 августа в общественном центре Сбера (ул. Вилоновская, 13)    - начало в 18:30    Ждём Вас друзья, будет здорово!",4555,27,"0,01437699681",мероприятие; история,
2022-06-29 14:37:00,tomsawyerfest,Тематический паблик,2615,"ЗАПУСКАЕМ МОНИТОРИНГ АВАРИЙНЫХ ДОМОВ САМАРСКОГО РАЙОНА  В Самаре порядка 800 исторических домов попали в программу переселения граждан из ветхого и аварийного жилья. Переводя на человеческий - большинство из них снесут.  Как так случилось? А то мы не знаем... Тут экспертиза на бумаге, тут план по расселению, тут бюджет надо успеть освоить. И вот мучается чиновник, чувствует, что что-то не то, но раз на бумагах все хорошо, то надо сносить!  А главная проблема, только вы никому об этом не говорите, практически никто не знает, как выглядят эти дома и в каком они состоянии на самом деле. Там может быть уникальная архитектура, ценные элементы, удивительная история и даже родина великого человека, но для экскаватора все едино - что сарай, что дворец.  В прошлом году вместе с вами мы обошли весь Ленинский район и сделали подробное описание 365 зданий, попавших в программу переселения граждан из ветхого и аварийного жилья.   В этом году дополним список объектами Самарского района.   Результаты нашего обследования мы передадим в УГООКН (Управление Госохраны объектов культурного наследия) для дальнейшей работы. На основе собранных данных будет существенно обновлена и дополнена информация на сайте ""Карты аварийных домов Самары"".   - А это поможет? - спросите вы. Да. В прошлом году срочная комиссия градозащитников отстояла 70 домов, необоснованно приговоренных к сносу. Наша задача - спасти еще больше!  КАК СТАТЬ УЧАСТНИКОМ МОНИТОРИНГА?  Написать координатору [id194504110|Ольге]. Она даст подробные инструкции.  Так как мы проводим исследование совместно с УГООКН Самарской области, нужно зарегистрироваться в качестве участника на сайте Добро.ру.  Регистрация служит обоснованием для выделения субсидии на создание электронной карты и подтверждением того, что это волонтерский проект.  Регистрация по ссылке через ЛК: https://dobro.ru/event/10199813  КАК БУДЕТ ПРОХОДИТЬ МОНИТОРИНГ?   Как и в прошлом году, мы будем формировать группы из 3-4 участников, каждый из которых будет выполнять определенную функцию в проекте. В этом году по просьбе УГООКН добавляется несколько новых моментов в эту работу. Будет необходимо измерять параметры домов, фотографировать их с разных сторон, фиксировать наличие ценных элементов на фасадах, беседовать с местными жителями, а по итогам составлять ""паспорт дома"".  КОГДА СОСТОИТСЯ ОРГАНИЗАЦИОННОЕ СОБРАНИЕ?   5 ИЮЛЯ В 18:30 мы собираемся во дворе Дома с Часами (Коммунистическая, 5). К нам присоединится Иван Стафеев, руководитель УГООКН Самарской области. Он расскажет как правильно делать обмеры домов и составлять паспорта на дома (по форме УГООКН). Здесь тоже нужна регистрация: https://vk.cc/ceJPqq  СРОКИ ПРОВЕДЕНИЯ МОНИТОРИНГА  Мы очень рассчитываем завершить мониторинг до конца июля, так как после этого будет необходимо обработать весь массив информации и начать наносить его на электронную карту.   Есть вопросы? Координатор [id194504110|Ольга Лумпова] с удовольствием ответит на них!",5539,35,"0,01408450704",угроза утраты; аварийное жилье; расселение; мероприятие; обвинение; консолидация сообщества; дом Кожевникова,
2021-11-20 9:15:19,tomsawyerfest,Тематический паблик,2217,"Друзья, прямо сейчас в Самаре проходит стратегическая сессия Том Сойер Феста по приспособлению исторических зданий под новые функции.   К нам приехали координаторы из разных городов России и мы вместе с экспертами обсуждаем эту проблему и ищем решения.   Вы также можете поучаствовать, сессия транслируется в интернет, присоединяйтесь)  Вот ссылка: https://m.youtube.com/watch?v=ogUOhgTB6Bs  📝Программа на сегодня: 10:00 -11:20 - Павел Мазин “Правовые и технологические возможности использования исторической недвижимости, г. Уфа” (Главный архитектор ООО “Проект-М”, г.Уфа)    11:20 - 11:50 - обсуждение вопросов по теме     12:00 - 13:30 - Дмитрий Ойнас ""Экономика наследия. Капитализация символических ресурсов""(Президент Делового клуба «Наследие и экономика», г. Москва; директор проектов АНО «Коломенский посад», г. Коломна).    13:30 -14:00 - обсуждение вопросов по теме.    15:00 - 16:00 -Татьяна Минаева “Подготовка аварийных ОКН МКД к вовлечению в хозяйственный оборот” (Менеджер проектов ООО «ДАЛЬ», архитектор, градостроитель, г. Москва)   16:00-16:50 - Анна Давыдова “Нижегородский опыт работы с расселенными ОКН, представляющими историко-культурную ценность” (советник директора АНО “Агентство по сохранению и развитию объектов исторической среды Нижегородской области”, эксперт Министерства культуры РФ, г. Нижний Новгород)    17:00-17:20 - Святослав Коновалов “Опыт взаимодействия с администрацией по использованию расселенного здания под нужды ТСФ и ВООПИиК на примере Омска"" (Член президиума Омского отделения ВООПИиК, куратор проектов, г. Омск)    17:20 - 18:00 Алина Коленченко. Презентация новой книги “Том Сойер Феста”.",2352,18,"0,01382799325",мероприятие; инициативы по сохранению памятников; адаптация памятников для коммерции,
